City,AverageTemperature,year,month
Akron,5.271000000000001,2004,3
Akron,9.82,2004,4
Akron,17.886,2004,5
Akron,19.69,2004,6
Akron,22.08,2004,7
Akron,20.499000000000002,2004,8
Akron,19.006,2004,9
Akron,11.805,2004,10
Akron,7.064,2004,11
Akron,-0.235,2004,12
Akron,-2.002,2005,1
Akron,-0.4310000000000001,2005,2
Akron,1.0440000000000005,2005,3
Akron,10.492,2005,4
Akron,13.331,2005,5
Akron,22.681,2005,6
Akron,24.215,2005,7
Akron,23.43,2005,8
Akron,19.781,2005,9
Akron,12.234000000000002,2005,10
Akron,6.856,2005,11
Akron,-2.681,2005,12
Akron,3.18,2006,1
Akron,-0.7270000000000001,2006,2
Akron,3.1830000000000003,2006,3
Akron,11.408,2006,4
Akron,15.110999999999999,2006,5
Akron,19.623,2006,6
Akron,23.701999999999998,2006,7
Akron,22.895000000000003,2006,8
Akron,16.915000000000006,2006,9
Akron,10.021,2006,10
Akron,6.981,2006,11
Akron,3.3710000000000004,2006,12
Akron,0.02099999999999991,2007,1
Akron,-6.7620000000000005,2007,2
Akron,5.207999999999998,2007,3
Akron,8.228000000000002,2007,4
Akron,17.204,2007,5
Akron,21.164,2007,6
Akron,21.712,2007,7
Akron,23.202,2007,8
Akron,19.429000000000002,2007,9
Akron,15.262,2007,10
Akron,5.252000000000002,2007,11
Akron,0.2799999999999999,2007,12
Akron,-1.258,2008,1
Akron,-2.411,2008,2
Akron,1.713,2008,3
Akron,11.566,2008,4
Akron,13.556,2008,5
Akron,21.608,2008,6
Akron,22.906,2008,7
Akron,21.171000000000006,2008,8
Akron,19.066000000000006,2008,9
Akron,10.459000000000001,2008,10
Akron,4.372999999999998,2008,11
Akron,-0.518,2008,12
Akron,-6.642,2009,1
Akron,-0.8880000000000001,2009,2
Akron,4.5950000000000015,2009,3
Akron,10.248,2009,4
Akron,16.005,2009,5
Akron,19.789,2009,6
Akron,20.65,2009,7
Akron,22.16500000000001,2009,8
Akron,18.167,2009,9
Akron,10.002,2009,10
Akron,8.038,2009,11
Akron,-1.3330000000000002,2009,12
Akron,-3.7,2010,1
Akron,-3.411,2010,2
Akron,5.372000000000001,2010,3
Akron,12.232000000000001,2010,4
Akron,17.128999999999998,2010,5
Akron,21.936,2010,6
Akron,24.203000000000007,2010,7
Akron,23.502,2010,8
Akron,18.62,2010,9
Akron,11.757,2010,10
Akron,5.489,2010,11
Akron,-3.932,2010,12
Akron,-4.976,2011,1
Akron,-1.359,2011,2
Akron,2.899,2011,3
Akron,10.289000000000001,2011,4
Akron,16.69,2011,5
Akron,21.135,2011,6
Akron,24.948,2011,7
Akron,22.271,2011,8
Akron,18.655,2011,9
Akron,11.297,2011,10
Akron,8.334,2011,11
Akron,2.3480000000000003,2011,12
Akron,-0.34399999999999986,2012,1
Akron,1.5269999999999997,2012,2
Akron,10.109,2012,3
Akron,9.195,2012,4
Akron,18.921,2012,5
Akron,21.108,2012,6
Akron,24.966,2012,7
Akron,21.94,2012,8
Akron,17.482000000000006,2012,9
Akron,11.558000000000002,2012,10
Akron,4.185,2012,11
Akron,2.938,2012,12
Akron,-1.0859999999999999,2013,1
Akron,-2.213,2013,2
Akron,1.285,2013,3
Akron,9.691,2013,4
Akron,16.789,2013,5
Akron,20.579,2013,6
Akron,22.969,2013,7
Akron,21.023000000000003,2013,8
Akron,17.799,2013,9
Albuquerque,2.3890000000000002,2000,1
Albuquerque,5.212999999999999,2000,2
Albuquerque,6.941,2000,3
Albuquerque,12.701,2000,4
Albuquerque,18.618,2000,5
Albuquerque,21.881999999999998,2000,6
Albuquerque,23.82,2000,7
Albuquerque,22.86000000000001,2000,8
Albuquerque,19.558,2000,9
Albuquerque,10.96,2000,10
Albuquerque,1.5780000000000003,2000,11
Albuquerque,0.732,2000,12
Albuquerque,-1.7069999999999999,2001,1
Albuquerque,3.414,2001,2
Albuquerque,6.984999999999999,2001,3
Albuquerque,11.755,2001,4
Albuquerque,17.503,2001,5
Albuquerque,21.929,2001,6
Albuquerque,23.849,2001,7
Albuquerque,21.94700000000001,2001,8
Albuquerque,19.03,2001,9
Albuquerque,12.892,2001,10
Albuquerque,6.1610000000000005,2001,11
Albuquerque,-0.34600000000000003,2001,12
Albuquerque,0.71,2002,1
Albuquerque,2.107,2002,2
Albuquerque,6.3249999999999975,2002,3
Albuquerque,13.989,2002,4
Albuquerque,16.816,2002,5
Albuquerque,23.079,2002,6
Albuquerque,23.296,2002,7
Albuquerque,22.658,2002,8
Albuquerque,18.184,2002,9
Albuquerque,10.845999999999998,2002,10
Albuquerque,4.753,2002,11
Albuquerque,-0.341,2002,12
Albuquerque,3.653,2003,1
Albuquerque,3.3960000000000004,2003,2
Albuquerque,6.565,2003,3
Albuquerque,11.049,2003,4
Albuquerque,17.137,2003,5
Albuquerque,20.924,2003,6
Albuquerque,25.688,2003,7
Albuquerque,23.128,2003,8
Albuquerque,18.828,2003,9
Albuquerque,14.057,2003,10
Albuquerque,5.6910000000000025,2003,11
Albuquerque,0.867,2003,12
Albuquerque,1.0490000000000002,2004,1
Albuquerque,0.9280000000000002,2004,2
Albuquerque,9.684,2004,3
Albuquerque,10.41,2004,4
Albuquerque,17.012999999999998,2004,5
Albuquerque,20.92,2004,6
Albuquerque,22.868,2004,7
Albuquerque,20.91,2004,8
Albuquerque,17.364,2004,9
Albuquerque,11.136,2004,10
Albuquerque,4.644,2004,11
